source_id	geo	source_class	languages	name	url	topics	http_status	final_url	content_type	page_title	canonical_url	rss_or_atom	robots_url	robots_status	robots_sitemaps	probe_error	checked_at_utc
CN-01	CN	A	zh;en	CAAM	https://www.caam.org.cn/	statistics;export	ERROR	https://www.caam.org.cn/					https://www.caam.org.cn/robots.txt	ERROR		URLError:<urlopen error timed out>	2026-08-30T16:33:14+00:00
CN-02	CN	A	zh;en	CPCA	https://www.cpcaauto.com/	statistics;market	403	https://www.cpcaauto.com/	text/html; charset=utf-8				https://www.cpcaauto.com/robots.txt	404		HTTPError:403	2026-08-30T16:32:57+00:00
CN-03	CN	A	en	Ministry of Commerce China	https://english.mofcom.gov.cn/	trade;export	ERROR	https://english.mofcom.gov.cn/					https://english.mofcom.gov.cn/robots.txt	404		URLError:<urlopen error [Errno 104] Connection reset by peer>	2026-08-30T16:32:56+00:00
CN-04	CN	A	en	General Administration of Customs China	https://english.customs.gov.cn/	customs;export	ERROR	https://english.customs.gov.cn/					https://english.customs.gov.cn/robots.txt	ERROR		URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)>	2026-08-30T16:32:56+00:00
CN-05	CN	B	en	China Daily	https://www.chinadaily.com.cn/	national;auto	200	https://www.chinadaily.com.cn/	text/html;charset=UTF-8	China Daily Website - Connecting China Connecting the World			https://www.chinadaily.com.cn/robots.txt	404			2026-08-30T16:32:55+00:00
CN-06	CN	B	en	Xinhua English	https://english.news.cn/	national;industry	200	https://english.news.cn/	text/html; charset=utf-8	Xinhua – China, World, Business, Sports, Photos and Video | English.news.cn			https://english.news.cn/robots.txt	404			2026-08-30T16:33:01+00:00
CN-07	CN	B	en	Reuters China	https://www.reuters.com/world/china/	business;auto	401	https://www.reuters.com/world/china/	text/html;charset=utf-8	reuters.com			https://www.reuters.com/robots.txt	200	https://www.reuters.com/arc/outboundfeeds/sitemap-index/?outputType=xml;https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml;https://www.reuters.com/plus/sitemap-index.xml;https://www.reuters.com/arc/outboundfeeds/sitemap-plj-index/?outputType=xml;https://www.reuters.com/graphics/sitemap.xml;https://www.reuters.com/arc/outboundfeeds/sitemap-index/pictures/?outputType=xml;https://www.reuters.com/static/video-sitemap/us/sitemap_video_index.xml;https://www.reuters.com/arc/outboundfeeds/topic-sitemap/?outputType=xml	HTTPError:401	2026-08-30T16:32:55+00:00
CN-08	CN	C	en	Gasgoo	https://autonews.gasgoo.com/	industry;export	200	https://autonews.gasgoo.com/	text/html; charset=utf-8	Automotive News_Gasgoo covers news of China auto industry and bridges China auto market with the global one - Gasgoo | Gasgoo			https://autonews.gasgoo.com/robots.txt	200	https://autonews.gasgoo.com/sitemap.xml		2026-08-30T16:33:00+00:00
CN-09	CN	C	en	CarNewsChina	https://carnewschina.com/	models;export	200	https://carnewschina.com/	text/html; charset=UTF-8	CarNewsChina.com - China Auto News	https://carnewschina.com/	https://carnewschina.com/homepage/feed/	https://carnewschina.com/robots.txt	200	https://carnewschina.com/sitemap_index.xml		2026-08-30T16:32:55+00:00
CN-10	CN	C	en	CNEVPost	https://cnevpost.com/	EV;industry	200	https://cnevpost.com/	text/html; charset=utf-8	CnEVPost - China EV news, data, insights and more	https://cnevpost.com/	https://cnevpost.com/feed/;https://cnevpost.com/comments/feed/	https://cnevpost.com/robots.txt	200	https://cnevpost.com/sitemap_index.xml		2026-08-30T16:32:55+00:00
