source_id,geo,country,name,url,source_class,primary_language,official,automotive_scope,http_status,final_url,page_title,canonical_url,rss_or_atom,sitemap,robots_status,access_method,poll_interval_minutes,date_detectable,author_detectable,image_rights,legal_notes,reliability_score,automation_eligibility,priority,decision,audit_note,last_checked_utc
UA-01,UA,Ukraine,"Головний сервісний центр МВС",https://hsc.gov.ua/,A,uk,YES,registration;rules,403,https://hsc.gov.ua/,UNKNOWN,UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,15,PENDING,PENDING,UNKNOWN,"Official government body; presumed all-rights-reserved; WAF blocked automated GET at probe time",90,NO,HIGH,MANUAL_ONLY,"403 Access Denied on GET and robots.txt at probe time; sensitive category (registration) requires official first-source and manual handling regardless of scrape access",2026-08-30T16:32:50+00:00
UA-02,UA,Ukraine,"Державна митна служба України",https://customs.gov.ua/,A,uk,YES,customs;import,403,https://customs.gov.ua/,UNKNOWN,UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,15,PENDING,PENDING,UNKNOWN,"Official customs authority; presumed all-rights-reserved; blocked at probe time",92,NO,HIGH,MANUAL_ONLY,"403 on GET and robots.txt at probe time; customs is a mandatory-manual sensitive category requiring an official first-source in every case",2026-08-30T16:32:50+00:00
UA-03,UA,Ukraine,"AUTO.RIA Новини",https://auto.ria.com/uk/news/,B,uk;ru,NO,market;used-cars,200,https://auto.ria.com/uk/news/,"AUTO.RIA – Автоновини України та світу. Огляди автомобілів, автопрому",https://auto.ria.com/uk/news/,NONE,https://auto.ria.com/sitemaps/sitemap_2.xml;https://auto.ria.com/sitemap-final-page-new.xml;https://auto.ria.com/uk/newauto-sitemap-index.xml,200,SITEMAP,25,YES,PENDING,UNKNOWN,"Large Ukrainian marketplace/news portal; presumed standard copyright on editorial text and imagery",75,PARTIAL,HIGH,APPROVE_MVP,"200 OK; no RSS/Atom detected at probe time; several sitemap indexes available for HTML+sitemap-based discovery; strong direct relevance to UA market/used-cars",2026-08-30T16:32:51+00:00
UA-04,UA,Ukraine,"Автоцентр",https://www.autocentre.ua/,B,uk;ru,NO,market;law;models,200,https://www.autocentre.ua/,"Автоцентр.ua: автоновини - Автомобільний сайт N1 в Україні",https://www.autocentre.ua/,NONE,https://www.autocentre.ua/sitemap.xml,200,SITEMAP,25,YES,PENDING,UNKNOWN,"Established Ukrainian auto media outlet; presumed standard copyright; sitemap available, no RSS detected at probe time",72,PARTIAL,HIGH,APPROVE_MVP,"200 OK with sitemap; covers market/law/models directly relevant to UA ART clients",2026-08-30T16:32:50+00:00
UA-05,UA,Ukraine,"Укравтопром",https://ukrautoprom.com.ua/,A,uk,YES,statistics;registrations,200,https://ukrautoprom.com.ua/,"Новини українського автопрома. Автомобільні новини. Укравтопром",UNKNOWN,NONE,https://ukrautoprom.com.ua/sitemap_index.xml;https://ukrautoprom.com.ua/news-sitemap.xml,200,SITEMAP,15,YES,PENDING,UNKNOWN,"Industry association; official Ukrainian auto-market statistics; presumed standard copyright on editorial text",88,YES,HIGH,APPROVE_MVP,"200 OK; dedicated news-sitemap found; strongest official UA statistics source in the candidate pool",2026-08-30T16:32:52+00:00
UA-06,UA,Ukraine,"Інститут досліджень авторинку (eauto.org.ua)",https://eauto.org.ua/,C,uk,NO,market;statistics,200,https://eauto.org.ua/,"Дані та аналітика українського авторинку — Eauto",UNKNOWN,NONE,https://eauto.org.ua/sitemap.xml;https://eauto.org.ua/news-sitemap.xml;https://eauto.org.ua/video-sitemap.xml,200,SITEMAP,50,YES,PENDING,UNKNOWN,"Specialized market-analytics institute; presumed standard copyright on published analysis",68,YES,HIGH,APPROVE_MVP,"200 OK; dedicated news-sitemap present; specialized but directly useful for the market-analytics angle",2026-08-30T16:32:51+00:00
UA-07,UA,Ukraine,"Економічна правда",https://epravda.com.ua/,B,uk,NO,economy;taxes,403,https://epravda.com.ua/,"Just a moment...",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,25,PENDING,PENDING,UNKNOWN,"Cloudflare interstitial challenge blocked the automated GET at probe time; presumed standard copyright",74,NO,HIGH,APPROVE_LATER,"403 with a Cloudflare 'Just a moment' challenge page at probe time; taxes topic also touches a sensitive category; needs an allowlisted/rendering-capable fetch method before later use",2026-08-30T16:32:50+00:00
UA-08,UA,Ukraine,"LIGA Бізнес",https://biz.liga.net/,B,uk;ru,NO,economy;law,403,https://biz.liga.net/,"Attention Required! | Cloudflare",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,25,PENDING,PENDING,UNKNOWN,"Cloudflare challenge blocked the automated GET at probe time; presumed standard copyright",73,NO,HIGH,APPROVE_LATER,"403 Cloudflare challenge at probe time; law/economy content relevant but requires an alternate access method",2026-08-30T16:32:50+00:00
UA-09,UA,Ukraine,"Інтерфакс-Україна",https://interfax.com.ua/,B,uk;ru;en,NO,official;economy,200,https://interfax.com.ua/,"Інтерфакс-Україна - новини України та світу",UNKNOWN,NONE,https://interfax.com.ua/sitemap.xml;https://interfax.com.ua/sitemap-latest.xml;https://interfax.com.ua/google-news-sitemap.xml,200,SITEMAP,25,YES,PENDING,UNKNOWN,"National news agency; presumed standard copyright on wire content with attribution required",80,YES,HIGH,APPROVE_MVP,"200 OK; Google News sitemap present; strong candidate for structured discovery of official/economy news",2026-08-30T16:32:50+00:00
UA-10,UA,Ukraine,"МВС України",https://mvs.gov.ua/,A,uk,YES,rules;registration,403,https://mvs.gov.ua/,"Just a moment...",UNKNOWN,NONE,UNKNOWN,200,BROWSER_LAST_RESORT,15,PENDING,PENDING,UNKNOWN,"Official ministry; Cloudflare challenge blocked the page GET although robots.txt itself was reachable (200); presumed all-rights-reserved",90,NO,HIGH,MANUAL_ONLY,"Page GET returned 403 with a challenge page while robots.txt returned 200 at probe time; registration/rules is a mandatory-manual sensitive category",2026-08-30T16:32:50+00:00
